OBJECTID;N_DEPTO;Y;X;id_unico
4738;Oruro;-18,025656019;-67,957301022;47337358,3
42253;La Paz;-17,494895275;-67,942171328;51878908,1
453;Santa Cruz;-18,708765985;-63,175072487;46836966,9
454;Santa Cruz;-18,753133698;-63,213911555;46523169,8
455;Santa Cruz;-18,529326669;-63,042858343;48070405,1
456;Santa Cruz;-18,587849661;-63,240425056;47426038,5
457;Santa Cruz;-18,592218386;-63,240231998;47401149,1
458;Santa Cruz;-18,612126263;-63,18756903;47368822
459;Santa Cruz;-18,229113725;-63,186520086;49609447,8
460;Santa Cruz;-18,601163925;-63,55082139;46873009
461;Santa Cruz;-20,408128494;-63,440966026;37498654,4
462;Santa Cruz;-19,633884012;-63,55225533;41142321
463;Santa Cruz;-19,645499815;-63,54466552;41095344,6
464;Santa Cruz;-19,430461966;-63,423635071;42446552
465;Santa Cruz;-19,407214165;-63,471214175;42486657,5
466;Santa Cruz;-19,548126099;-63,532555734;41628687,1
467;Santa Cruz;-19,539256477;-63,551545094;41641607,4
468;Santa Cruz;-19,284053335;-63,428036802;43224808
469;Santa Cruz;-20,070395235;-63,525964675;38967105,2
470;Santa Cruz;-19,965385092;-63,530099531;39483242,8
471;Santa Cruz;-20,196819646;-63,288088246;38811860,5
472;Santa Cruz;-17,189211698;-62,785707866;56556092
473;Santa Cruz;-17,106115029;-63,006582467;56836977,2
474;Santa Cruz;-17,207744324;-62,839915656;56373597,4
475;Santa Cruz;-17,249952788;-62,786883338;56168022,2
476;Santa Cruz;-17,246592781;-62,736621849;56250112,6
477;Santa Cruz;-17,196981233;-62,809512777;56478298,4
478;Santa Cruz;-17,171863955;-62,931504708;56496848,9
479;Santa Cruz;-17,182039031;-62,789525027;56597359,5
480;Santa Cruz;-17,238922512;-62,965229516;56026766,3
481;Santa Cruz;-17,510395241;-62,804126692;54509392,7
482;Santa Cruz;-17,343939037;-62,804924655;55551176,1
483;Santa Cruz;-17,38276807;-62,801448087;55310965
484;Santa Cruz;-17,541523775;-62,893592507;54200742,6
485;Santa Cruz;-17,291697446;-62,797678643;55890227,2
486;Santa Cruz;-17,494573637;-62,803173366;54609108,9
487;Santa Cruz;-17,324312309;-62,799618583;55681587,1
488;Santa Cruz;-17,367251835;-62,843666875;55356358,5
489;Santa Cruz;-17,381529682;-62,89508748;55202940,9
490;Santa Cruz;-17,53472065;-62,923436844;54205091,9
491;Santa Cruz;-17,426519566;-62,907427277;54903910,6
492;Santa Cruz;-17,394846403;-62,827095797;55203083,1
493;Santa Cruz;-17,218033158;-62,893681108;56244448,6
494;Santa Cruz;-17,505654124;-63,150376105;54104775,9
495;Santa Cruz;-17,559877646;-63,199494487;53701255,7
496;Santa Cruz;-17,531087512;-63,188142124;53897435,5
497;Santa Cruz;-17,511994759;-63,1659114;54045609,5
498;Santa Cruz;-17,492147948;-63,173221628;54162642,1
499;Santa Cruz;-17,43202861;-63,15933903;54562045,5
500;Santa Cruz;-17,3147134;-63,120869299;55358647,7
501;Santa Cruz;-17,43929645;-63,135838295;54543908,4
502;Santa Cruz;-17,362883156;-63,104957994;55068425,2
503;Santa Cruz;-17,398575524;-63,133246344;54806708,1
504;Santa Cruz;-17,379079726;-63,168875641;54889325,5
505;Santa Cruz;-17,366119959;-63,130299519;55017781,8
506;Santa Cruz;-17,449578984;-63,179687213;54425762,3
507;Santa Cruz;-17,609958679;-63,096245311;53515028,4
508;Santa Cruz;-17,608770324;-63,105988939;53510140,7
509;Santa Cruz;-17,56139391;-63,115118582;53796254,1
510;Santa Cruz;-17,584341863;-63,112051526;53655779
511;Santa Cruz;-17,587732116;-63,013141122;53759659,2
512;Santa Cruz;-17,593274887;-63,019646563;53716738,8
513;Santa Cruz;-17,512255476;-62,977258267;54277691,6
514;Santa Cruz;-17,428019153;-63,031882151;54741398,1
515;Santa Cruz;-17,510755598;-63,065444509;54177075,6
516;Santa Cruz;-17,4889192;-63,023125877;54367218,2
517;Santa Cruz;-17,482752962;-63,054287771;54367601,8
518;Santa Cruz;-17,483384697;-62,999611044;54431283,3
519;Santa Cruz;-17,417976153;-63,003034787;54840211,7
520;Santa Cruz;-17,408208343;-62,97788591;54932778,5
521;Santa Cruz;-17,441978497;-62,974058249;54724001,1
522;Santa Cruz;-17,445054647;-63,220973405;54405395,9
523;Santa Cruz;-17,435140037;-63,22358827;54465708,6
524;Santa Cruz;-17,327490316;-62,990782586;55430106
525;Santa Cruz;-17,202575674;-63,065286777;56145590,8
526;Santa Cruz;-17,223741487;-63,05145633;56024650,9
527;Santa Cruz;-17,188095567;-63,013842771;56297758,4
528;Santa Cruz;-17,221966446;-63,02775546;56063310,6
529;Santa Cruz;-17,328351129;-63,044557148;55360735,9
530;Santa Cruz;-17,250396434;-63,019420089;55889972,1
532;Santa Cruz;-17,242709105;-63,083760529;55865237,7
534;Santa Cruz;-17,362568663;-62,970951085;55230639,9
535;Santa Cruz;-17,246338521;-62,997016941;55942095,6
536;Santa Cruz;-17,290404919;-63,03964304;55609527,9
537;Santa Cruz;-17,265083075;-63,062532507;55745529,4
538;Santa Cruz;-17,293369037;-63,013712769;55620976,1
539;Santa Cruz;-16,757363371;-60,66127272;61968343,9
540;Santa Cruz;-16,759848528;-60,729178018;61859612,7
541;Santa Cruz;-16,794266623;-60,648508857;61766002,7
543;Santa Cruz;-16,844137637;-60,623902718;61504318,2
544;Santa Cruz;-16,819424216;-60,627613051;61645694,8
545;Santa Cruz;-16,740814819;-60,683983235;62035914
546;Santa Cruz;-16,787392891;-60,675485749;61769343,6
547;Santa Cruz;-16,633007426;-59,696744685;64077276,6
548;Santa Cruz;-16,569134379;-59,61543434;64566748,3
549;Santa Cruz;-16,770728252;-60,808946688;61684704,1
550;Santa Cruz;-16,807442552;-60,746149647;61551428,4
551;Santa Cruz;-17,124662687;-60,575266419;59931571,7
552;Santa Cruz;-17,050829663;-60,669107673;60222829,6
553;Santa Cruz;-16,836066063;-60,671574649;61485053
554;Santa Cruz;-16,885439814;-60,659331224;61209584,1
555;Santa Cruz;-16,974572385;-60,603108101;60765179,3
556;Santa Cruz;-16,652460746;-60,969390425;62184875,7
557;Santa Cruz;-16,729839826;-61,036540417;61624514
558;Santa Cruz;-16,55122451;-61,054952305;62694877,2
559;Santa Cruz;-16,679196799;-60,993118879;61990502,6
560;Santa Cruz;-16,719155923;-61,004353285;61732324
561;Santa Cruz;-16,676801686;-60,919589504;62102646
562;Santa Cruz;-16,701254652;-61,046855492;61784990,8
