c_manz,lat,long,id_unico
0171670460,-16.2950011828,-68.0518159207,629418416-A
0051010460,-16.3036649684,-68.0906903502,629229327-A
0123028130,-16.2803858556,-68.0738520556,631162039-A
0123028180,-16.2811782798,-68.0747317657,631101283-A
0173220080,-16.3026085023,-68.0640218886,628895135-A
0173310220,-16.3050898663,-68.0639165278,628658424-A
0182320220,-16.2914913997,-68.0434770518,629616415-A
0173310190,-16.3047492495,-68.0645891798,628701552-A
0051010340,-16.3041004351,-68.0911453653,629195468-A
0030460060,-16.3104652664,-68.0811093938,628427865-A
0131158000,-16.2719698302,-68.0622040017,631769587-A
0131148000,-16.2648986063,-68.0559173077,632337413-A
0132709110,-16.2609191524,-68.0447747491,632532859-A
0200910170,-16.3329074853,-68.0536955361,625863145-A
0080110040,-16.2950850493,-68.092282767,630069879-A
0070710050,-16.2942876395,-68.0846787556,630020543-A
0200920461,-16.3452382707,-68.0428763847,624527892-A
0200910500,-16.3352893742,-68.0547576023,625654925-A
0091910470,-16.2957699299,-68.0936574692,630027503-A
0200910570,-16.3354119941,-68.0603418048,625732100-A
0062550060,-16.303145255,-68.0810192257,629120408-A
0192420520,-16.3149233098,-68.0323614257,627224048-A
0200919040,-16.3334734331,-68.0553949545,625836655-A
0080060010,-16.2937594336,-68.0856703219,630086949-A
0200910290,-16.3340788392,-68.053222888,625744957-A
0192310190,-16.3245588287,-68.0401464856,626437148-A
0200919020,-16.3310454116,-68.0534194333,626034730-A
0060280080,-16.3004800346,-68.08210132,629390846-A
0192420550,-16.3154461577,-68.0324103501,627175443-A
0080060120,-16.294353611,-68.0857002737,630031051-A
0192420440,-16.3157028775,-68.03101703,627129179-A
0193970311,-16.3221726726,-68.0212179064,626364385-A
0051020150,-16.3027807451,-68.0905033831,629310166-A
0102680980,-16.2751935114,-68.0953043458,632009609-A
0080050140,-16.2928845252,-68.0858444503,630172844-A
0070599050,-16.3013658747,-68.092009708,629469169-A
0051020250,-16.3028483117,-68.0901660206,629298221-A
0100968070,-16.2736947328,-68.0921251858,632099216-A
0091850180,-16.2914094775,-68.1000999639,630548117-A
0091850170,-16.29157961,-68.10044378,630537649-A
0053990090,-16.3035419753,-68.0838982188,629129800-A
0053990010,-16.3029127536,-68.0837842452,629187617-A
0051050110,-16.3023885571,-68.0845106478,629249214-A
0182370620,-16.3106447442,-68.0307965796,627603387-A
0052470020,-16.302619702,-68.0921453276,629352398-A
0052470030,-16.3025456639,-68.092080384,629358359-A
0091840160,-16.2920159952,-68.09461007,630399696-A
0052460070,-16.3016264295,-68.0844420584,629320385-A
0052448050,-16.3057473389,-68.08435929,628928172-A
0183730650,-16.3208871236,-68.0401139567,626783450-A
0052440420,-16.3100835739,-68.0834442681,628502066-A
0052440410,-16.3101793437,-68.0835495966,628494702-A
0111480100,-16.2918085936,-68.0753846086,630103503-A
0193420610,-16.3222819764,-68.0159036118,626270931-A
0051090150,-16.3032128402,-68.0854588612,629186535-A
0051130020,-16.3051415912,-68.0855066948,629004369-A
0112720340,-16.2850859352,-68.0838016059,630879497-A
0182330720,-16.3139263312,-68.0525224534,627638943-A
0182360230,-16.3026356226,-68.02362563,628246345-A
0010229000,-16.3014070967,-68.0734010046,629161084-A
0182400470,-16.3203607597,-68.050476613,626997838-A
